[2026-01-19 12:11:02,668][INFO] copytrade 启动 | poll_interval=60.0s
[2026-01-19 12:38:06,247][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:38:06,247][INFO] no token updates, total=2
[2026-01-19 12:39:21,290][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:39:36,321][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:39:51,343][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:39:51,343][INFO] no token updates, total=2
[2026-01-19 12:41:03,000][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:41:18,018][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:41:30,786][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:41:30,786][INFO] no token updates, total=2
[2026-01-19 12:42:45,818][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:42:56,298][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:42:56,599][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768843088000
[2026-01-19 12:42:56,599][INFO] no token updates, total=2
[2026-01-19 12:44:11,618][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:44:14,640][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768819438000
[2026-01-19 12:44:29,661][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=0 normalized=0 since_ms=1768843088000
[2026-01-19 12:44:29,663][INFO] no token updates, total=2
[2026-01-19 12:45:30,000][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768843088000
[2026-01-19 12:45:30,307][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768819438000
[2026-01-19 12:45:30,609][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768843088000
[2026-01-19 12:45:30,609][INFO] no token updates, total=2
[2026-01-19 12:46:30,913][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=1 since_ms=1768843088000
[2026-01-19 12:46:31,211][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=1 normalized=0 since_ms=1768819438000
[2026-01-19 12:46:31,552][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768844784000
[2026-01-19 12:46:31,553][INFO] tokens output updated: /home/trader/polymarket_api/POLYMARKET_MAKER_copytrade_v2/copytrade/tokens_from_copytrade.json (total=2)
[2026-01-19 12:47:31,887][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=1 normalized=0 since_ms=1768844784000
