[2026-01-18 03:32:09,063][INFO] copytrade 启动 | poll_interval=30.0s
[2026-01-18 03:49:00,311][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:49:00,311][INFO] no token updates, total=3
[2026-01-18 03:49:30,764][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:49:31,091][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:49:31,092][INFO] no token updates, total=3
[2026-01-18 03:50:01,411][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:50:01,712][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:50:01,712][INFO] no token updates, total=3
[2026-01-18 03:50:32,012][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:50:32,331][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:50:32,331][INFO] no token updates, total=3
[2026-01-18 03:51:02,650][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:51:02,970][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:51:02,971][INFO] no token updates, total=3
[2026-01-18 03:51:33,273][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:51:33,585][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:51:33,585][INFO] no token updates, total=3
[2026-01-18 03:52:03,896][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:52:04,226][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:52:04,226][INFO] no token updates, total=3
[2026-01-18 03:52:34,536][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:52:34,827][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:52:34,827][INFO] no token updates, total=3
[2026-01-18 03:53:05,132][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:53:05,437][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:53:05,437][INFO] no token updates, total=3
[2026-01-18 03:53:35,732][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
[2026-01-18 03:53:36,052][INFO] account=0x9ca119b8cd7bdb890aecf1ff3b0f6e3a45cc13b5 trades=0 normalized=0 since_ms=1768725129066
[2026-01-18 03:53:36,053][INFO] no token updates, total=3
[2026-01-18 03:54:06,373][INFO] account=0x96489abcb9f583d6835c8ef95ffc923d05a86825 trades=2 normalized=0 since_ms=1768725992000
